state, city, station,fromDate, AT, BP, PM10, PM2.5, RH, SR,  Toluene, WD, WS, CO, Benzene, NH3, NO, NO2, NOx, Ozone, SO2
Delhi,Delhi,site_301,05-Jul-2020 - 07:00,29.33,973.82,10.75,7.0,83.33,332.68,50.52,95.75,0.68,1.12,9.08,19.98,6.5,33.08,22.93,100.2,15.88
Delhi,Delhi,site_301,05-Jul-2020 - 08:00,30.8,973.7,17.5,12.5,77.65,407.93,36.1,242.5,0.98,1.77,4.03,19.48,49.4,30.9,56.68,72.45,17.97
Delhi,Delhi,site_301,05-Jul-2020 - 09:00,31.53,973.7,22.0,13.5,74.78,401.2,11.93,185.25,0.43,1.6,0.85,19.33,15.4,29.8,28.4,71.08,12.6
Delhi,Delhi,site_301,05-Jul-2020 - 10:00,32.15,973.65,24.75,21.25,72.1,410.55,7.6,104.0,0.65,1.15,1.02,19.7,7.95,24.65,19.62,99.3,18.5
Delhi,Delhi,site_301,05-Jul-2020 - 11:00,34.23,973.22,33.0,23.75,64.88,433.18,30.83,101.25,0.48,1.4,3.88,18.7,7.25,25.52,19.48,102.25,15.17
Delhi,Delhi,site_301,05-Jul-2020 - 12:00,36.48,973.3,40.0,30.75,58.85,433.88,44.15,97.75,0.57,1.0,3.55,19.9,9.3,31.12,24.18,110.65,14.7
Delhi,Delhi,site_301,05-Jul-2020 - 13:00,37.5,973.25,57.25,35.5,56.0,421.35,46.55,85.25,0.93,0.62,3.9,20.1,5.65,26.9,18.92,116.7,13.03
Delhi,Delhi,site_301,05-Jul-2020 - 14:00,37.95,973.3,52.5,35.0,55.4,400.02,27.15,132.75,0.57,1.05,1.52,19.97,5.95,28.28,19.9,128.85,13.38
Delhi,Delhi,site_301,05-Jul-2020 - 15:00,38.42,973.3,67.0,37.25,53.45,376.2,29.7,160.25,0.47,0.78,2.33,19.73,9.9,30.62,24.38,154.12,15.45
Delhi,Delhi,site_301,05-Jul-2020 - 16:00,37.48,973.3,50.75,32.5,56.38,366.93,21.8,155.0,0.32,0.57,1.55,19.2,9.4,30.7,24.0,140.28,15.72
